identity/LineItemId,bill/BillType,lineItem/UsageAccountId,lineItem/ResourceId,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/UsageAmount,lineItem/UnblendedCost,product/servicecode,product/outputTokens,product/invocationCount,resourceTags/user:UserId
li-001,Anniversary,111111111111,arn:aws:bedrock:us-east-1:111111111111:model/anthropic.claude-3-sonnet,2026-03-01T00:00:00Z,2026-03-01T01:00:00Z,1500,0.0045,AmazonBedrock,800,1,user-alice
li-002,Anniversary,111111111111,arn:aws:bedrock:us-east-1:111111111111:model/anthropic.claude-3-sonnet,2026-03-01T01:00:00Z,2026-03-01T02:00:00Z,3200,0.0096,AmazonBedrock,1600,2,user-alice
li-003,Anniversary,111111111111,arn:aws:bedrock:us-east-1:111111111111:model/amazon.titan-text-express,2026-03-01T00:00:00Z,2026-03-01T01:00:00Z,500,0.0008,AmazonBedrock,200,1,user-bob
li-004,Anniversary,222222222222,arn:aws:bedrock:us-west-2:222222222222:model/anthropic.claude-3-sonnet,2026-03-01T02:00:00Z,2026-03-01T03:00:00Z,2000,0.006,AmazonBedrock,1000,1,user-carol
li-005,Anniversary,222222222222,arn:aws:sagemaker:us-west-2:222222222222:endpoint/genai-endpoint-1,2026-03-01T00:00:00Z,2026-03-01T01:00:00Z,1000,0.012,AmazonSageMaker,0,1,user-carol
li-006,Anniversary,111111111111,arn:aws:ec2:us-east-1:111111111111:instance/i-abc123,2026-03-01T00:00:00Z,2026-03-01T01:00:00Z,1,0.50,AmazonEC2,0,0,user-alice
li-007,Anniversary,333333333333,arn:aws:bedrock:eu-west-1:333333333333:model/anthropic.claude-3-haiku,2026-03-02T00:00:00Z,2026-03-02T01:00:00Z,10000,0.003,AmazonBedrock,5000,5,user-dave
li-008,Anniversary,333333333333,arn:aws:bedrock:eu-west-1:333333333333:model/anthropic.claude-3-haiku,2026-03-02T01:00:00Z,2026-03-02T02:00:00Z,8000,0.0024,AmazonBedrock,4000,3,user-dave
li-009,Anniversary,111111111111,arn:aws:bedrock:us-east-1:111111111111:model/anthropic.claude-3-sonnet,2026-03-02T00:00:00Z,2026-03-02T01:00:00Z,4000,0.012,AmazonBedrock,2000,3,user-bob
li-010,Anniversary,222222222222,,2026-03-02T00:00:00Z,2026-03-02T01:00:00Z,100,0.001,AmazonBedrock,50,1,user-carol
li-001,Anniversary,111111111111,arn:aws:bedrock:us-east-1:111111111111:model/anthropic.claude-3-sonnet,2026-03-01T00:00:00Z,2026-03-01T01:00:00Z,1500,0.0045,AmazonBedrock,800,1,user-alice
li-011,Anniversary,111111111111,arn:aws:bedrock:us-east-1:111111111111:model/anthropic.claude-3-opus,2026-03-02T02:00:00Z,2026-03-02T03:00:00Z,6000,0.09,AmazonBedrock,3000,4,user-alice
li-012,Anniversary,111111111111,arn:aws:bedrock:us-east-1:111111111111:model/anthropic.claude-3-opus,2026-03-02T03:00:00Z,2026-03-02T04:00:00Z,8500,0.1275,AmazonBedrock,4200,6,user-alice
li-013,Anniversary,222222222222,arn:aws:bedrock:us-west-2:222222222222:model/anthropic.claude-3-opus,2026-03-02T00:00:00Z,2026-03-02T01:00:00Z,3000,0.045,AmazonBedrock,1500,2,user-carol
